name,url_pc
Apple MacBook Air M3 15 pouces (2024) Argent 24 Go/ 512 Go (MC9J4FN/A),"https://www.ldlc.com/fiche/PB00651924.html"">"
"Apple MacBook Pro M4 Max 16"" Argent 36 Go/1 To (MX2V3FN/A)","https://www.ldlc.com/fiche/PB00651942.html"">"
"Apple MacBook Pro M4 Max 16"" Noir sidéral 48 Go/1 To (MX313FN/A)","https://www.ldlc.com/fiche/PB00651946.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16 Go/256 Go (MW0W3FN/A-CPU10-GPU10),"https://www.ldlc.com/fiche/PB00686659.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16 Go/256 Go (MW0W3FN/A-QWERTY-RU),"https://www.ldlc.com/fiche/PB00691265.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16Go/1To (MW0X3FN/A-1TB),"https://www.ldlc.com/fiche/PB00671686.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16Go/1To (MW0X3FN/A-1TB-70W),"https://www.ldlc.com/fiche/PB00675409.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 16Go/256 Go (MW0W3FN/A-70W),"https://www.ldlc.com/fiche/PB00674309.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 24 Go/1 To (MW0W3FN/A-CPU10-GPU10-24GB-1TB-35W),"https://www.ldlc.com/fiche/PB00675411.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 24 Go/256 Go (MW0W3FN/A-CPU10-GPU10-24GB),"https://www.ldlc.com/fiche/PB00673734.html"">"
Apple MacBook Air M4 13 pouces (2025) Argent 24Go/1To (MC654FN/A-1TB),"https://www.ldlc.com/fiche/PB00671690.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/1 To (MC6U4FN/A-1TB-QWERTY-US),"https://www.ldlc.com/fiche/PB00674949.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/256 Go (MC6T4FN/A-GPU10-70W-QWERTY-P),"https://www.ldlc.com/fiche/PB00692497.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/256 Go (MC6T4FN/A-QWERTY-US),"https://www.ldlc.com/fiche/PB00674821.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/512 Go (MC6T4FN/A-GPU10-512GB-70W),"https://www.ldlc.com/fiche/PB00675415.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/512 Go (MC6U4FN/A-QWERTY-US),"https://www.ldlc.com/fiche/PB00674944.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 16Go/512 Go (MC6U4FN/A-QWERTZ-DE),"https://www.ldlc.com/fiche/PB00674032.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 24Go/1To (MC6V4FN/A-1TB),"https://www.ldlc.com/fiche/PB00671693.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 24Go/2 To (MC6V4FN/A-2TB-70W),"https://www.ldlc.com/fiche/PB00677897.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 24Go/512 Go (MC6U4FN/A-24GB),"https://www.ldlc.com/fiche/PB00696152.html"">"
Apple MacBook Air M4 13 pouces (2025) Bleu ciel 32 Go/1 To (MC6V4FN/A-32GB-1TB-70W),"https://www.ldlc.com/fiche/PB00690403.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 16Go/1To (MW103FN/A-1TB),"https://www.ldlc.com/fiche/PB00671687.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 16Go/512 Go (MW103FN/A-QWERTY-US),"https://www.ldlc.com/fiche/PB00686481.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 24Go/1To (MC6A4FN/A-1TB),"https://www.ldlc.com/fiche/PB00671691.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 24Go/1To (MC6A4FN/A-1TB-70W),"https://www.ldlc.com/fiche/PB00692512.html"">"
Apple MacBook Air M4 13 pouces (2025) Lumière stellaire 32Go/1To (MC6A4FN/A-32GB-1TB-35W),"https://www.ldlc.com/fiche/PB00672733.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/1To (MW133FN/A-1TB),"https://www.ldlc.com/fiche/PB00671688.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/1To (MW133FN/A-1TB-70W),"https://www.ldlc.com/fiche/PB00675316.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/256 Go (MW123FN/A-24GB-GPU10-QWERTZ-CH),"https://www.ldlc.com/fiche/PB00674801.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/256 Go (MW123FN/A-QWERTY-INT),"https://www.ldlc.com/fiche/PB00683077.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/2To (MW133FN/A-2TB-70W),"https://www.ldlc.com/fiche/PB00672735.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/512 Go (MW133FN/A-70W),"https://www.ldlc.com/fiche/PB00675412.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/512 Go (MW133FN/A-QWERTY-INT),"https://www.ldlc.com/fiche/PB00696153.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 16Go/512 Go (MW133FN/A-QWERTZ-DE),"https://www.ldlc.com/fiche/PB00672828.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 24Go/1To (MC6C4FN/A-1TB),"https://www.ldlc.com/fiche/PB00671692.html"">"
Apple MacBook Air M4 13 pouces (2025) Minuit 24Go/1To (MC6C4FN/A-1TB-70W),"https://www.ldlc.com/fiche/PB00678139.html"">"
